BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.961,306806,592,18,737.0441,5.537049,560,394,1270.163,2905.785,694.5873,10506.38,721,0,0.6998789,0.0030975,0.6867496,0.002330302,486.044,6343.807,495.1465,1211.387
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.817,309964,557,18,1860.036,6.444188,557,377,1860.036,2979.124,695.4398,11283.31,721,0,0.6376407,0.003065591,0.6357413,0.002740306,442.4179,5420.723,458.3694,1424.523
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.02,320498,617,18,671.8738,6.2644,601,361,1088.566,1967.698,695.5361,12084.99,721,0,0.7172452,0.00809807,0.6694552,0.004168974,498.2149,9409.057,482.6772,2167.202
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3001.52,306353,548,18,1483.022,7.285137,548,375,1483.022,1976.058,690.4039,13601.01,721,0,0.6467099,0.00316866,0.661303,0.002306834,445.0355,6469.671,476.7996,1199.188
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.019,293319,555,18,1036.077,5.49472,555,330,1036.077,2106.863,690.5664,11660.89,721,0,0.6197877,0.004657486,0.5874272,0.002816024,425.6693,5214.378,423.5348,1463.888
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.201,306857,599,15,334.4672,5.066997,532,411,1087.788,2359.287,684.4828,15826.63,721,0,0.6732255,0.003231382,0.6517716,0.001550867,461.431,8302.401,469.9274,806.2043
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.098,297418,521,18,262.6542,6.341022,512,314,1008.537,2693.377,690.1614,12603.27,721,0,0.6164425,0.005369827,0.5913851,0.003187317,422.4722,5154.947,426.3888,1656.899
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.334,312640,624,18,1495.778,6.807502,624,327,1495.778,2461.39,693.4574,12266.92,721,0,0.68166,0.009445009,0.6654902,0.01252026,472.7602,10358.59,479.8187,6508.537
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3001.132,301590,552,18,2028.15,8.253093,552,348,2028.15,1508.074,691.0554,12327.04,721,0,0.6254765,0.003363278,0.6101974,0.003481315,430.3202,5359.133,439.9523,1809.731
15,0,SmallSeedEach,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Green,5000,0.1,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,True,True,1,1.5,0,0.01,True,True,1,True,0.2,False,False,2,True,0.5,3000.403,300067,580,18,1322.779,4.710088,580,323,1322.779,2415.8,681.2051,16737.06,721,0,0.6305686,0.005121069,0.6416592,0.005434664,428.571,8779.591,462.6362,2825.158
