BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.128,468427,721,375,2083.488,1.596337,721,508,2083.488,1214.608,721,0,721,0,0.8664376,0.0214169,0.9531363,0.004151908,624.7016,11133.46,687.2112,2158.327
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.241,468215,721,375,2365.849,11.61644,721,560,2365.849,1488.45,721,0,721,0,0.874212,0.01284338,0.9325891,0.004203111,630.3066,6676.568,672.3969,2184.942
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.45,451929,721,372,1093.903,17.44286,721,688,1093.903,1029.12,721,0,721,0,0.9370381,0.01344526,0.9991161,2.089197E-05,675.6045,6989.482,720.3627,10.86047
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3001.02,458781,721,374,995.6362,19.24057,721,720,1000.17,1000.17,721,0,721,0,0.9276198,0.0191611,1,0,668.8139,9960.93,721,0
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.357,483705,720,371,2999.893,19.2708,720,533,2999.893,1102.357,721,0,721,0,0.8275884,0.01023605,0.887915,0.002363302,596.6912,5321.117,640.187,1228.542
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.359,464415,721,375,1536.722,10.37818,721,569,1536.722,1212.922,721,0,721,0,0.8692575,0.02394413,0.9666468,0.004147152,626.7346,12447.14,696.9523,2155.857
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.723,467801,718,373,1516.83,21.63473,718,573,1516.83,1832.021,721,0,721,0,0.8805682,0.009290815,0.9241567,0.001910818,634.8898,4829.748,666.3171,993.3214
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.185,459466,721,375,2204.289,11.77708,721,580,2204.289,1000.119,721,0,721,0,0.8972432,0.01294293,0.9671826,0.001200215,646.9122,6728.246,697.3386,623.9211
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.039,478089,704,365,1564.086,89.47462,704,523,1564.086,2793.98,721,0,721,0,0.8232749,0.00931279,0.8703471,0.002458798,593.581,4841.163,627.5204,1278.183
15,0,HalfAndHalf,1,-0.1,1,5,1,1.7,0.1,17,1,False,0.5,0.15,1,True,1,Blue,5000,0.05,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,10,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.531,467640,721,371,2790.537,35.02007,721,589,2790.537,2138.172,721,0,721,0,0.871822,0.01174031,0.9277586,0.00205599,628.5839,6103.077,668.9142,1068.789

